origin_airport,destination_airport,distance_km,is_less_than_200_km
MAN,NDE,5490.5756884771645,False
IEG,LLA,1516.379588717387,False
IEG,PVS,1654.9324058892532,False
IEG,MCG,1481.5477192479586,False
IEG,TLL,834.5808872389646,False
IEG,VBY,638.5781146039382,False
IEG,AAL,574.6778728103753,False
IEG,MMX,400.7155720406415,False
IEG,BFS,308.09781561584987,False
IEG,BLK,224.7332181208161,False
IEG,MAN,188.49970060685212,True
IEG,LCJ,51.03343104897186,True
IEG,PAD,48.64312711131859,True
IEG,OST,130.33640734062587,True
IEG,DRS,91.45256283659721,True
IEG,YBH,798.9761344936396,False
IEG,YQN,538.3486368690913,False
IEG,BTS,419.53625896293823,False
IEG,FDH,475.10980428248627,False
IEG,BSL,485.4528285212109,False
IEG,BGY,697.0218634827462,False
IEG,YSC,825.2031805574926,False
IEG,PSA,919.5043952881949,False
IEG,BIQ,949.2236001800582,False
IEG,INI,956.5057300760207,False
IEG,SCQ,1005.4374172415446,False
IEG,VLL,1140.1774304580392,False
IEG,FSC,1160.1628369238788,False
IEG,KRW,1349.7785057668323,False
IEG,TPS,1558.6790759446574,False
IEG,PDL,1578.4853766988567,False
IEG,RHO,1729.2423877457936,False
IEG,CHQ,1823.4685255739164,False
IEG,AGO,2163.4354407136507,False
IEG,BQK,2354.4714906931954,False
IEG,SOK,2457.3975645267496,False
IEG,CLC,2570.7642126355195,False
IEG,SPC,2588.2394876999706,False
IEG,UDR,3071.1062038171654,False
IEG,SNJ,3364.3990588037,False
IEG,BBR,4003.171698998926,False
IEG,AHE,4322.354604852747,False
IEG,HUU,4698.069198909423,False
IEG,JIM,4913.649466356534,False
IEG,AIH,5070.548546949579,False
IEG,KSB,5195.737491083879,False
IEG,TYL,5283.575927104607,False
IEG,NDE,5325.531494655428,False
LCJ,LLA,1539.7055329710429,False
LCJ,PVS,1655.7576481426865,False
LCJ,MCG,1481.1032044936396,False
LCJ,TLL,856.4159774011241,False
LCJ,VBY,661.4454767371591,False
LCJ,AAL,601.0750129142657,False
LCJ,MMX,428.7476478967129,False
LCJ,BFS,341.61876207963655,False
LCJ,BLK,266.3722083695576,False
LCJ,MAN,233.9563247459082,False
LCJ,IEG,51.03343104897186,True
LCJ,PAD,79.76162420295482,True
LCJ,OST,158.53595781001323,True
LCJ,DRS,93.50760225020113,True
LCJ,YBH,752.411764006955,False
LCJ,YQN,488.0467616524331,False
LCJ,BTS,396.2483774256527,False
LCJ,FDH,456.60994943297453,False
LCJ,BSL,469.3588832014095,False
LCJ,BGY,676.888550839727,False
LCJ,YSC,782.4477731153682,False
LCJ,PSA,900.8405500858905,False
LCJ,BIQ,933.8552368291325,False
LCJ,INI,932.8462171316894,False
LCJ,SCQ,985.0999534422579,False
LCJ,VLL,1121.7004052714674,False
LCJ,FSC,1138.9887150338334,False
LCJ,KRW,1317.2095300218891,False
LCJ,TPS,1537.3254930033931,False
LCJ,PDL,1553.2188602748154,False
LCJ,RHO,1703.053705815657,False
LCJ,CHQ,1798.8651405257465,False
LCJ,AGO,2126.5547564539006,False
LCJ,BQK,2320.380620591937,False
LCJ,SOK,2431.7612172675726,False
LCJ,CLC,2534.85196479879,False
LCJ,SPC,2564.662803411268,False
LCJ,UDR,3039.6152097140784,False
LCJ,SNJ,3331.946440038209,False
LCJ,BBR,3974.5812381229844,False
LCJ,AHE,4284.689442535347,False
LCJ,HUU,4668.067739339092,False
LCJ,JIM,4888.039203498555,False
LCJ,AIH,5034.929153640974,False
LCJ,KSB,5159.441901693753,False
LCJ,TYL,5253.890032330881,False
LCJ,NDE,5299.863584095742,False
PAD,LLA,1552.508327331939,False
PAD,PVS,1701.664981220686,False
PAD,MCG,1528.6251699433024,False
PAD,TLL,872.3786846638006,False
PAD,VBY,676.1069849914071,False
PAD,AAL,609.8851284089254,False
PAD,MMX,435.57265599440024,False
PAD,BFS,339.07346079408035,False
PAD,BLK,247.56737063536542,False
PAD,MAN,205.82539117521623,False
PAD,IEG,48.64312711131859,True
PAD,LCJ,79.76162420295482,True
PAD,OST,82.51076664317627,True
PAD,DRS,55.038625364640254,True
PAD,YBH,830.8714008085664,False
PAD,YQN,561.0211059611248,False
PAD,BTS,387.70451998183,False
PAD,FDH,439.20996175467485,False
PAD,BSL,447.85975048618735,False
PAD,BGY,661.3404660507299,False
PAD,YSC,813.2640529975383,False
PAD,PSA,882.3431593007795,False
PAD,BIQ,909.9375090184587,False
PAD,INI,922.9010301496122,False
PAD,SCQ,969.2991537297856,False
PAD,VLL,1102.6240397668887,False
PAD,FSC,1124.4377323303704,False
PAD,KRW,1323.7299729518393,False
PAD,TPS,1522.7830175347601,False
PAD,PDL,1545.5493033817852,False
PAD,RHO,1696.9800354859426,False
PAD,CHQ,1789.8765957604965,False
PAD,AGO,2141.775289510274,False
PAD,BQK,2329.504149523105,False
PAD,SOK,2424.421071854027,False
PAD,CLC,2547.8049654134625,False
PAD,SPC,2553.6183077377095,False
PAD,UDR,3043.2525461256614,False
PAD,SNJ,3337.4664490173404,False
PAD,BBR,3972.456351485369,False
PAD,AHE,4301.243544068398,False
PAD,HUU,4668.577696388788,False
PAD,JIM,4880.329718057553,False
PAD,AIH,5046.8827357420605,False
PAD,KSB,5172.858473574797,False
PAD,TYL,5253.745550919021,False
PAD,NDE,5292.230290510931,False
OST,LLA,1601.5820330370088,False
OST,PVS,1774.1765876675154,False
OST,MCG,1602.192806174381,False
OST,TLL,926.2470374197179,False
OST,VBY,730.3867902790696,False
OST,AAL,660.3523056886503,False
OST,MMX,487.38409528074453,False
OST,BFS,386.4779585428519,False
OST,BLK,286.28649017781976,False
OST,MAN,239.66518116252416,False
OST,IEG,130.33640734062587,True
OST,LCJ,158.53595781001323,True
OST,PAD,82.51076664317627,True
OST,DRS,81.66557090146583,True
OST,YBH,900.0753897904749,False
OST,YQN,620.4647732290952,False
OST,BTS,360.71823945671247,False
OST,FDH,401.33122305495976,False
OST,BSL,405.635137778988,False
OST,BGY,620.8753815022073,False
OST,YSC,818.4048188748025,False
OST,PSA,837.0369258863158,False
OST,BIQ,859.5328405496601,False
OST,INI,885.3377315786206,False
OST,SCQ,925.9424320670387,False
OST,VLL,1055.615907634449,False
OST,FSC,1081.464339894605,False
OST,KRW,1300.2143782529472,False
OST,TPS,1478.5631108661166,False
OST,PDL,1507.6062495660237,False
OST,RHO,1660.1971821060285,False
OST,CHQ,1750.197348587189,False
OST,AGO,2125.2010523699387,False
OST,BQK,2306.4734745319547,False
OST,SOK,2385.420369549864,False
OST,CLC,2528.401340904551,False
OST,SPC,2511.1110732966426,False
OST,UDR,3014.1380218433765,False
OST,SNJ,3309.99764129698,False
OST,BBR,3937.3238205576654,False
OST,AHE,4284.413800969516,False
OST,HUU,4635.680677277656,False
OST,JIM,4839.724703472787,False
OST,AIH,5025.0855628857025,False
OST,KSB,5152.506224336734,False
OST,TYL,5220.054965387669,False
OST,NDE,5251.586401629367,False
DRS,LLA,1605.7593378696042,False
DRS,PVS,1743.9067532552792,False
DRS,MCG,1569.9597521875953,False
DRS,TLL,924.7839903313327,False
DRS,VBY,728.6080403827496,False
DRS,AAL,663.3576472764377,False
DRS,MMX,489.07689688826497,False
DRS,BFS,393.5114120596046,False
DRS,BLK,302.6037405809366,False
DRS,MAN,260.5997893571893,False
DRS,IEG,91.45256283659721,True
DRS,LCJ,93.50760225020113,True
DRS,PAD,55.038625364640254,True
DRS,OST,81.66557090146583,True
DRS,YBH,819.2034879232172,False
DRS,YQN,538.8585867712522,False
DRS,BTS,332.86766632098414,False
DRS,FDH,385.499075555113,False
DRS,BSL,394.95649320869853,False
DRS,BGY,607.6359903385536,False
DRS,YSC,762.1729974133334,False
DRS,PSA,829.3405759622424,False
DRS,BIQ,858.1880340170056,False
DRS,INI,868.5756075854191,False
DRS,SCQ,915.8400131977829,False
DRS,VLL,1049.8488560911592,False
DRS,FSC,1070.8285186889336,False
DRS,KRW,1268.7320882389324,False
DRS,TPS,1469.2717235672983,False
DRS,PDL,1491.108648722494,False
DRS,RHO,1642.4002678514169,False
DRS,CHQ,1735.6102775644808,False
DRS,AGO,2087.2564055785515,False
DRS,BQK,2274.5573067529913,False
DRS,SOK,2370.0172636633997,False
DRS,CLC,2493.069684171725,False
DRS,SPC,2499.678287656833,False
DRS,UDR,2988.2211667728116,False
DRS,SNJ,3282.428926822949,False
DRS,BBR,3917.6519807649975,False
DRS,AHE,4246.772262673319,False
DRS,HUU,4613.640559340244,False
DRS,JIM,4826.03743719,False
DRS,AIH,4992.034071978201,False
DRS,KSB,5118.103080811078,False
DRS,TYL,5198.842100649695,False
DRS,NDE,5237.935617147917,False
YBH,LLA,1746.6704213246871,False
YBH,PVS,1522.3288094856412,False
YBH,MCG,1352.1457331351965,False
YBH,TLL,1157.491884529849,False
YBH,VBY,1032.1583941475835,False
YBH,AAL,1027.8724702023947,False
YBH,MMX,935.5707920751353,False
YBH,BFS,923.7837606608202,False
YBH,BLK,924.9081514584337,False
YBH,MAN,922.9249338563799,False
YBH,IEG,798.9761344936396,False
YBH,LCJ,752.411764006955,False
YBH,PAD,830.8714008085664,False
YBH,OST,900.0753897904749,False
YBH,DRS,819.2034879232172,False
YBH,YQN,306.5270646446248,False
YBH,BTS,856.1648153893867,False
YBH,FDH,923.5946371853765,False
YBH,BSL,949.6125087341638,False
YBH,BGY,1042.7234424901937,False
YBH,YSC,755.2228768686057,False
YBH,PSA,1221.2734763149635,False
YBH,BIQ,1285.0411725224844,False
YBH,INI,1183.2580081456815,False
YBH,SCQ,1266.617108109151,False
YBH,VLL,1401.041313946129,False
YBH,FSC,1380.0138774003362,False
YBH,KRW,1348.3125672189385,False
YBH,TPS,1720.663508386414,False
YBH,PDL,1675.339810250136,False
YBH,RHO,1794.3921538506775,False
YBH,CHQ,1906.8503577435222,False
YBH,AGO,1982.2189865812152,False
YBH,BQK,2221.1826894534333,False
YBH,SOK,2480.037331960165,False
YBH,CLC,2386.993567048285,False
YBH,SPC,2640.3098062546414,False
YBH,UDR,2957.9301278435114,False
YBH,SNJ,3222.5890910283965,False
YBH,BBR,3920.1591792995982,False
YBH,AHE,4048.388193811721,False
YBH,HUU,4575.155524530519,False
YBH,JIM,4868.885161583427,False
YBH,AIH,4829.123884507252,False
YBH,KSB,4938.269563973134,False
YBH,TYL,5157.954416710044,False
YBH,NDE,5273.7982424250295,False
YQN,LLA,1750.6349383732081,False
YQN,PVS,1654.6764554180818,False
